center,left,right,steering,throttle,brake,speed
IMG/center_2017_02_05_20_20_59_678.jpg, IMG/left_2017_02_05_20_20_59_678.jpg, IMG/right_2017_02_05_20_20_59_678.jpg, 0, 0, 0, 8.05368E-05
IMG/center_2017_02_05_20_20_59_783.jpg, IMG/left_2017_02_05_20_20_59_783.jpg, IMG/right_2017_02_05_20_20_59_783.jpg, 0, 0, 0, 8.198372E-05
IMG/center_2017_02_05_20_20_59_886.jpg, IMG/left_2017_02_05_20_20_59_886.jpg, IMG/right_2017_02_05_20_20_59_886.jpg, 0, 0, 0, 8.415038E-05
IMG/center_2017_02_05_20_20_59_988.jpg, IMG/left_2017_02_05_20_20_59_988.jpg, IMG/right_2017_02_05_20_20_59_988.jpg, 0, 0, 0, 7.98011E-05
IMG/center_2017_02_05_20_21_00_093.jpg, IMG/left_2017_02_05_20_21_00_093.jpg, IMG/right_2017_02_05_20_21_00_093.jpg, 0, 0, 0, 8.174961E-05
IMG/center_2017_02_05_20_21_00_195.jpg, IMG/left_2017_02_05_20_21_00_195.jpg, IMG/right_2017_02_05_20_21_00_195.jpg, 0, 0, 0, 8.06817E-05
IMG/center_2017_02_05_20_21_00_295.jpg, IMG/left_2017_02_05_20_21_00_295.jpg, IMG/right_2017_02_05_20_21_00_295.jpg, 0, 0.2823089, 0, 0.2011932
IMG/center_2017_02_05_20_21_00_406.jpg, IMG/left_2017_02_05_20_21_00_406.jpg, IMG/right_2017_02_05_20_21_00_406.jpg, 0, 0.66768, 0, 0.8665794
IMG/center_2017_02_05_20_21_00_506.jpg, IMG/left_2017_02_05_20_21_00_506.jpg, IMG/right_2017_02_05_20_21_00_506.jpg, 0, 0.969603, 0, 1.903039
IMG/center_2017_02_05_20_21_00_606.jpg, IMG/left_2017_02_05_20_21_00_606.jpg, IMG/right_2017_02_05_20_21_00_606.jpg, 0, 1, 0, 3.09521
IMG/center_2017_02_05_20_21_00_710.jpg, IMG/left_2017_02_05_20_21_00_710.jpg, IMG/right_2017_02_05_20_21_00_710.jpg, -0.1519439, 1, 0, 4.264439
IMG/center_2017_02_05_20_21_00_814.jpg, IMG/left_2017_02_05_20_21_00_814.jpg, IMG/right_2017_02_05_20_21_00_814.jpg, -0.002021849, 1, 0, 5.421811
IMG/center_2017_02_05_20_21_00_916.jpg, IMG/left_2017_02_05_20_21_00_916.jpg, IMG/right_2017_02_05_20_21_00_916.jpg, 0, 1, 0, 6.573128
